,IFA,dom_habitat,decade,X1,X2,count,percent,grp_count,grp_percent,ACBR_Name,ecogroup
163,1832,3,198,-0.179327515,-0.244342671,1;2,7,NA,1,North-west Antarctic Peninsula,hab3_asmNA
164,1832,3,196,0.088804843,-0.039615695,1,1,5,5,North-west Antarctic Peninsula,hab3_asm5
165,186,1,198,-0.115121121,-0.118048348,9,9,NA,,Dronning Maud Land,hab1_asmNA
166,1867,3,198,0.20599408,0.186806335,2,3,4,7,North-east Antarctic Peninsula,hab3_asm4
167,19013,8,200,-0.137718032,-0.049723112,2,2,7,7,East Antarctica,hab8_asm7
168,19013,8,198,0.352640123,-0.146154211,3,3,7,7,East Antarctica,hab8_asm7
169,19034,8,198,0.387053137,-0.102014794,3,3,7,7,East Antarctica,hab8_asm7
170,19034,8,199,0.251438977,-0.018507966,2,17,7,1,East Antarctica,hab8_asm7
171,19034,8,197,0.387964625,-0.257322231,2,2,7,7,East Antarctica,hab8_asm7
172,19034,8,200,-0.26815966,-0.032387162,2,22,7,,East Antarctica,hab8_asm7
173,19195,5,200,-0.007957598,0.379372341,2,2,7,7,Transantarctic Mountains,hab5_asm7
174,19269,7,200,0.026554248,0.336275927,2,18,7,,South Victoria Land,hab7_asm7
175,1945,3,198,-0.062083976,-0.174354843,1,1,5,5,North-east Antarctic Peninsula,hab3_asm5
176,19657,7,200,-0.448259546,0.027088457,3,3,3,3,Marie Byrd Land,hab7_asm3
177,19660,7,200,-0.345882746,-0.01434726,3,3,3,3,Marie Byrd Land,hab7_asm3
178,19663,8,200,0.061900826,-0.052407076,1,1,5,5,Marie Byrd Land,hab8_asm5
179,19708,7,200,-0.34930762,0.026498072,3,3,3,3,Marie Byrd Land,hab7_asm3
180,19716,7,200,-0.398946195,0.025820368,3,3,3,3,Marie Byrd Land,hab7_asm3
181,19738,7,196,-0.526065644,-0.267224554,2,2,3,3,South Victoria Land,hab7_asm3
182,19741,7,200,-0.248752634,0.012716742,3,3,3,3,South Victoria Land,hab7_asm3
183,19782,7,196,-0.429607425,-0.365779669,2,2,3,3,South Victoria Land,hab7_asm3
184,19782,7,200,-0.422838712,0.019304075,3,3,3,3,South Victoria Land,hab7_asm3
185,19782,7,199,-0.223768914,-0.31427621,12,12;15,3,3,South Victoria Land,hab7_asm3
186,19786,8,200,-0.321153744,-0.000494642,3,8,3,,Marie Byrd Land,hab8_asm3
187,19875,5,198,0.089394891,0.101817816,3,3,7,7,South Victoria Land,hab5_asm7
188,19875,5,200,-0.155847518,-0.015412689,18,18,NA,,South Victoria Land,hab5_asmNA
189,19912,7,196,-0.405511299,-0.228229802,2,2,3,3,South Victoria Land,hab7_asm3
190,19912,7,200,-0.333964597,-0.013034557,3,15,3,,South Victoria Land,hab7_asm3
191,19939,7,199,0.064984081,-0.253647254,2,14;15;16,7,3,South Victoria Land,hab7_asm7
192,19939,7,196,-0.455325335,-0.369907236,2,20,3,,South Victoria Land,hab7_asm3
193,19939,7,200,-0.525279143,0.155849424,3,18,3,,South Victoria Land,hab7_asm3
194,19939,7,198,0.304359282,-0.111904959,3,3,7,7,South Victoria Land,hab7_asm7
195,19954,7,198,-0.079534621,-0.052383313,11,11,3,3,South Victoria Land,hab7_asm3
196,19971,7,196,-0.428791419,-0.301210578,2,2,3,3,South Victoria Land,hab7_asm3
197,19979,7,196,-0.463207672,-0.342599869,2,2,3,3,South Victoria Land,hab7_asm3
198,19989,7,196,-0.462943909,-0.34455066,2,2,3,3,South Victoria Land,hab7_asm3
199,19989,7,200,-0.009989952,0.278533691,2,22,7,,South Victoria Land,hab7_asm7
200,19989,7,197,0.39558243,-0.256356088,2,17,7,5,South Victoria Land,hab7_asm7
201,20023,8,200,-0.484564434,-0.048069121,3,14,3,,South Victoria Land,hab8_asm3
202,20023,8,199,-0.309110571,-0.511308765,15,15,3,3,South Victoria Land,hab8_asm3
