"","Row.names","dom_habitat","decade","X1","X2","count","percent","grp.count","grp.percent","ACBR_Name","ecogroup"
"125","19660",7,"200",0.431642531296079,-0.083482853628802,"5","5","1","1","Marie Byrd Land","hab7_grp1"
"126","19708",7,"200",0.393682257356222,-0.0558586849188042,"5","5","1","1","Marie Byrd Land","hab7_grp1"
"127","19716",7,"200",0.459055336118562,-0.066655627578194,"5","5","1","1","Marie Byrd Land","hab7_grp1"
"128","19782",7,"199",-0.190961331329109,0.483659951879098,"6","6","1","1","South Victoria Land","hab7_grp1"
"129","19782",7,"196",0.455613825548311,-0.4679702462249,"2","2","1","1","South Victoria Land","hab7_grp1"
"130","19782",7,"200",0.510079843540513,-0.0523263688989758,"5","5","1","1","South Victoria Land","hab7_grp1"
"131","19912",7,"200",0.462001850700215,-0.0760430566621391,"5","5","1","1","South Victoria Land","hab7_grp1"
"132","19912",7,"196",0.421954569857944,-0.323648124839099,"2","2","1","1","South Victoria Land","hab7_grp1"
"133","19939",7,"200",0.565601092701084,0.107551967930907,"5","5","1","1","South Victoria Land","hab7_grp1"
"134","19939",7,"198",0.402023131997937,-0.093731432776844,"2","2","1","1","South Victoria Land","hab7_grp1"
"135","19939",7,"196",0.480470404366048,-0.465475179017928,"2","2","1","1","South Victoria Land","hab7_grp1"
"136","19939",7,"199",0.109299368764477,0.293907104110304,"1;6","6","1","1","South Victoria Land","hab7_grp1"
"137","19971",7,"196",0.436177755582942,-0.360391232322014,"2","2","1","1","South Victoria Land","hab7_grp1"
"138","19979",7,"196",0.478275789919346,-0.437124870821063,"2","2","1","1","South Victoria Land","hab7_grp1"
"139","19989",7,"200",0.0378486166406581,0.339341630086525,"3","3","1","1","South Victoria Land","hab7_grp1"
"140","19989",7,"196",0.491521394844929,-0.452377024965913,"2","2","1","1","South Victoria Land","hab7_grp1"
"141","20023",8,"196",0.479704955270408,-0.454353006173823,"2","2","1","1","South Victoria Land","hab8_grp1"
"142","20023",8,"200",0.552474541703425,-0.103621363668033,"5","5","1","1","South Victoria Land","hab8_grp1"
"143","20046",7,"196",0.427976412257297,-0.356727702637996,"2","2","1","1","South Victoria Land","hab7_grp1"
"144","20065",2,"200",0.516584251576655,-0.0577788263276543,"5","5","1","1","South Victoria Land","hab2_grp1"
"145","20070",7,"196",0.474987050452225,-0.388489712363659,"2","2","1","1","South Victoria Land","hab7_grp1"
"146","20070",7,"200",0.374177638737036,-0.00326810168316557,"5","5","1","1","South Victoria Land","hab7_grp1"
"147","20070",7,"199",-0.215262187810676,0.59800434518645,"2;6","6","1;3","1","South Victoria Land","hab7_grp1;3"
"148","20092",7,"196",0.472587876486512,-0.300901239493927,"2","2","1","1","South Victoria Land","hab7_grp1"
"149","20101",8,"199",-0.276720823083539,0.490188522668142,"6","6","1","1","South Victoria Land","hab8_grp1"
"150","20101",8,"200",0.516065722061639,-0.0680076914196129,"5","5","1","1","South Victoria Land","hab8_grp1"
"151","20111",7,"199",0.312786669093395,0.169920912023011,"1","6","1","1","South Victoria Land","hab7_grp1"
"152","20111",7,"196",0.497050780639758,-0.414528197843691,"2","2","1","1","South Victoria Land","hab7_grp1"
"153","20111",7,"198",0.3075973353736,0.0283164608712802,"2","2","1","1","South Victoria Land","hab7_grp1"
"154","20118",7,"196",0.222175371118747,-0.373255801621136,"2;3","3","1","1","South Victoria Land","hab7_grp1"
"155","20118",7,"199",0.264771746320722,0.270094843143696,"1","6","1","1","South Victoria Land","hab7_grp1"
"156","20118",7,"198",0.261844893675391,0.166125731726902,"2","2","1","1","South Victoria Land","hab7_grp1"
"157","20128",7,"199",0.305429790968106,0.0714990380324929,"1","1","1","1","South Victoria Land","hab7_grp1"
"158","20131",7,"199",0.306214568729114,0.0629423655909256,"1","1","1","1","South Victoria Land","hab7_grp1"
"159","20134",7,"196",0.501138880083795,-0.401336889294941,"2","2","1","1","South Victoria Land","hab7_grp1"
"160","20134",7,"199",0.316128693582124,0.0275199802057368,"1","1","1","1","South Victoria Land","hab7_grp1"
"161","20160",7,"199",0.349823167684581,-0.000168484338945981,"1","1","1","1","South Victoria Land","hab7_grp1"
"162","20169",8,"199",0.336214621318204,0.0687050626766225,"1","1","1","1","South Victoria Land","hab8_grp1"
"163","20309",7,"198",0.384568970916283,-0.258557456981974,"2","2","1","1","South Victoria Land","hab7_grp1"
"164","20342",8,"198",0.235745145827377,-0.169207400793888,"2","2","1","1","South Victoria Land","hab8_grp1"
"165","20342",8,"199",0.265598836066748,-0.142433258917704,"1","1","1","1","South Victoria Land","hab8_grp1"
"166","2035",3,"198",0.0750645330833438,0.193977039821182,"1","1","2","2","North-west Antarctic Peninsula","hab3_grp2"
"167","20379",7,"199",0.293213107375393,-0.118270141158463,"1","1","1","1","North Victoria Land","hab7_grp1"
"168","20379",7,"198",0.409320784726659,-0.273704374982778,"2","2","1","1","North Victoria Land","hab7_grp1"
"169","20392",7,"199",0.327941062824768,-0.110744487138669,"1","1","1","1","North Victoria Land","hab7_grp1"
"170","20392",7,"198",0.465020509329414,-0.272157239110556,"2","2","1","1","North Victoria Land","hab7_grp1"
"171","20392",7,"200",0.565317373350746,-0.0176343339104363,"5","5","1","1","North Victoria Land","hab7_grp1"
"172","20393",7,"198",0.388076799044372,-0.257786429089774,"2","2","1","1","North Victoria Land","hab7_grp1"
"173","20393",7,"199",0.310152048358079,-0.0892329428320395,"1","1","1","1","North Victoria Land","hab7_grp1"
"174","20395",7,"199",0.318923683585621,-0.131569300053341,"1","1","1","1","North Victoria Land","hab7_grp1"
"175","20395",7,"198",0.447463733481825,-0.0205181529755391,"2","2","1","1","North Victoria Land","hab7_grp1"
"176","20396",7,"199",0.322709661815418,-0.0321454027253341,"1","1","1","1","North Victoria Land","hab7_grp1"
"177","20396",7,"198",0.283251938972936,-0.19632945173514,"2","2","1","1","North Victoria Land","hab7_grp1"
"178","20404",8,"198",0.357733712871242,-0.290679294010772,"2","2","1","1","North Victoria Land","hab8_grp1"
"179","20416",7,"200",0.508559812305647,-0.0678735847274459,"5","5","1","1","North Victoria Land","hab7_grp1"
"180","20416",7,"198",0.430176237224378,-0.20530735225799,"2","2","1","1","North Victoria Land","hab7_grp1"
"181","20416",7,"199",0.258683515775121,-0.180608356027575,"1","1","1","1","North Victoria Land","hab7_grp1"
"182","20419",8,"199",0.151600079784146,-0.209241626665036,"1","1","1","1","North Victoria Land","hab8_grp1"
"183","20419",8,"198",0.302868550172505,-0.24836187171117,"2","2","1","1","North Victoria Land","hab8_grp1"
"184","20432",7,"198",0.348249699198363,-0.271263340851694,"2","2","1","1","North Victoria Land","hab7_grp1"
"185","20433",7,"198",0.313614444315393,-0.0716838990787207,"2","2","1","1","North Victoria Land","hab7_grp1"
"186","20492",7,"200",0.535307313061434,-0.0701313987837064,"5","5","1","1","North Victoria Land","hab7_grp1"
"187","20525",7,"199",0.234830148128452,0.194138897793619,"1","6","1","1","North Victoria Land","hab7_grp1"
"188","20525",7,"198",0.386542749084099,-0.0994166547622038,"2","2","1","1","North Victoria Land","hab7_grp1"
"189","20541",7,"198",0.322316642241483,-0.103112207538007,"2","2","1","1","North Victoria Land","hab7_grp1"
"190","20623",7,"199",0.293243948265077,-0.144397904245977,"1","1","1","1","North Victoria Land","hab7_grp1"
"191","20623",7,"198",0.406707876818283,-0.167311322834029,"2","2","1","1","North Victoria Land","hab7_grp1"
"192","20654",7,"199",0.314448738052258,-0.140115491736127,"1","1","1","1","North Victoria Land","hab7_grp1"
"193","20654",7,"198",0.158225311466247,-0.0584778407832732,"2","2","1","1","North Victoria Land","hab7_grp1"
"194","20659",7,"198",0.440887031447303,-0.223294340532764,"2","2","1","1","North Victoria Land","hab7_grp1"
"195","20659",7,"199",0.316827051947659,-0.134598083979691,"1","1","1","1","North Victoria Land","hab7_grp1"
"196","20906",7,"199",0.293201085623834,-0.143145422361459,"1","1","1","1","North Victoria Land","hab7_grp1"
"197","20906",7,"198",0.411734469421414,-0.199788223147902,"2","2","1","1","North Victoria Land","hab7_grp1"
"198","2092",3,"198",0.195990410063158,0.0739374258807464,"1","5","2","1","North-east Antarctic Peninsula","hab3_grp2"
"199","20975",8,"198",0.416683243813376,-0.181006105446766,"2","2","1","1","North Victoria Land","hab8_grp1"
"200","20975",8,"199",0.354460727146118,-0.116569593502089,"1","1","1","1","North Victoria Land","hab8_grp1"
"201","21022",8,"198",0.387920352807612,-0.231623405415586,"2","4","1","2","North Victoria Land","hab8_grp1"
"202","21033",8,"198",0.277379292848545,-0.198187952619346,"2","2","1","1","North Victoria Land","hab8_grp1"
"203","21072",8,"199",0.171427285185491,-0.174924304129354,"1","1","1","1","North Victoria Land","hab8_grp1"
"204","21245",7,"199",0.264247444630984,0.0159014179754156,"1","1","1","1","North Victoria Land","hab7_grp1"
"205","21245",7,"198",0.370786517066306,-0.23455253067948,"2","4","1","2","North Victoria Land","hab7_grp1"
"206","2130",3,"196",-0.201449193395471,-0.0581480372064881,"1","1","2","2","North-west Antarctic Peninsula","hab3_grp2"
"207","21332",7,"199",0.220466738592187,-0.119161015381806,"1","1","1","1","North Victoria Land","hab7_grp1"
"208","21462",7,"198",0.461768641937145,-0.223511033913394,"2","2","1","1","North Victoria Land","hab7_grp1"
"209","21462",7,"196",0.310702318880291,0.0461701556972125,"4","4","1","1","North Victoria Land","hab7_grp1"
"210","21462",7,"199",0.298102360725985,-0.110279296278353,"1","1","1","1","North Victoria Land","hab7_grp1"
"211","2153",3,"200",-0.157392561850443,-0.342196475068696,"1","1","3","3","North-west Antarctic Peninsula","hab3_grp3"
"212","2153",3,"196",-0.400437193795578,-0.0638850407911403,"1","1","2","2","North-west Antarctic Peninsula","hab3_grp2"
"213","2154",3,"198",-0.0202582105467303,0.0386584236126368,"1","5","2","1","North-east Antarctic Peninsula","hab3_grp2"
